"Castle, Michael N. [Rep.-R-DE-At Large]",7
"Bordallo, Madeleine Z. [Del.-D-GU-At Large]",7
"Leach, James A. [Rep.-R-IA-1]",7
"Rogers, Mike J. [Rep.-R-MI-8]",7
"Sessions, Jeff [Sen.-R-AL]",7
"Davis, Jo Ann [Rep.-R-VA-1]",7
"McCaskill, Claire [Sen.-D-MO]",7
"Casey, Robert P., Jr. [Sen.-D-PA]",7
"Baucus, Max [Sen.-D-MT]",7
"Goss, Porter J. [Rep.-R-FL-14]",7
"Stump, Bob [Rep.-R-AZ-3]",7
"Merkley, Jeff [Sen.-D-OR]",7
"Watson, Diane E. [Rep.-D-CA-33]",7
"Peterson, Collin C. [Rep.-D-MN-7]",7
"Udall, Tom [Sen.-D-NM]",7
"Murray, Patty [Sen.-D-WA]",7
"Goodlatte, Bob [Rep.-R-VA-6]",7
"Poe, Ted [Rep.-R-TX-2]",7
"Tauzin, W. J. (Billy) [Rep.-R-LA-3]",7
"Santorum, Rick [Sen.-R-PA]",7
"Tiberi, Patrick J. [Rep.-R-OH-12]",7
"Saxton, Jim [Rep.-R-NJ-3]",7
"King, Peter T. [Rep.-R-NY-3]",6
"Lee, Mike [Sen.-R-UT]",6
"Gilchrest, Wayne T. [Rep.-R-MD-1]",6
"Guthrie, Brett [Rep.-R-KY-2]",6
"Cassidy, Bill [Sen.-R-LA]",6
"Costello, Jerry F. [Rep.-D-IL-12]",6
"Inouye, Daniel K. [Sen.-D-HI]",6
"Morella, Constance A. [Rep.-R-MD-8]",6
"Velazquez, Nydia M. [Rep.-D-NY-12]",6
"Schiff, Adam B. [Rep.-D-CA-29]",6
"Bereuter, Doug [Rep.-R-NE-1]",6
"Hoeven, John [Sen.-R-ND]",6
"Christensen, Donna M. [Del.-D-VI-At Large]",6
"Shaheen, Jeanne [Sen.-D-NH]",6
"Sarbanes, Paul S. [Sen.-D-MD]",6
"Latta, Robert E. [Rep.-R-OH-5]",6
"Stupak, Bart [Rep.-D-MI-1]",6
"Toomey, Patrick [Sen.-R-PA]",6
"Kline, John [Rep.-R-MN-2]",6
"Cantor, Eric [Rep.-R-VA-7]",6
"Bishop, Rob [Rep.-R-UT-1]",6
"Kelly, Robin L. [Rep.-D-IL-2]",6
"Fortuno, Luis G. [Resident Commissioner-R-PR-At Large]",6
"Frist, William H. [Sen.-R-TN]",6
"McGovern, James P. [Rep.-D-MA-3]",6
"Hastert, J. Dennis [Rep.-R-IL-14]",6
"Moore, Dennis [Rep.-D-KS-3]",6
"Walsh, James T. [Rep.-R-NY-25]",6
"Cantwell, Maria [Sen.-D-WA]",6
